disposable,food_contact_safe,suitable_for,cover_available,categories,ideal_for,nom du produit,safe,price,product_code,recyclable,food_contact:,type,description,keeps_no_odor,temperature_range,dimension,shape,material,units_per_package,compartiments,color
True,True,['micro-ondes'],True,Polypropylene,Repas a Emporter,Barquettes edi black 1000ml lot/5,,"XAF 1750,00",BP006,True,,Barquettes,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Ne garde pas d'odeur\n- Convient pour le micro-ondes\n- Prix pour 05 barquettes.,True,-20\xc2\xbaC / +380\xc2\xbaC,1000ml,Rectangulaire,Polypropylene,5,,Noire
True,True,[],False,Polypropylene,Repas a Emporter,barquettes HP red/black 1200ml lot/5,,"XAF 2500,00",BP002,True,,Barquettes,- Facile a nettoyer\n- Ne garde pas d'odeur\n- Compatible aux micro-ondes\n- Ne garde pas de t\xc3\xa2ches\n- Prix pour 05 barquettes.,True,-20\xc2\xbaC / +380\xc2\xbaC,1200ml,Rectangulaire,Polypropylene,5,,Rouge/noire
True,True,['micro-ondes'],True,Polypropylene,,Barquettes SJ transparent 1250ml lot/12,,"XAF 3500,00",BP009,True,,Barquettes,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Convient pour le micro-ondes\n- Prix pour 12 barquettes.,,-20\xc2\xbaC / +380\xc2\xbaC,1250ml,Rectangulaire,Polypropylene,12,,Transparent
False,True,"['micro-ondes', 'congelation']",False,Polypropylene,,Bo\xc3\xaete avec Charniere PP 500ml lot/10,,"XAF 2000,00",BP015,True,,Emballages,- Utilisable au micro-ondes\n- Ideal pour emballer de la nourriture.\n- Il peut \xc3\xaatre utilise pour congeler jusqu'a un maximum de -20\xc2\xbaC.\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 10 barquettes.,,-20\xc2\xbaC / +120\xc2\xbaC,500ml,,Polypropylene,10,,Transparent
False,True,"['micro-ondes', 'congelation']",False,Polypropylene,,Bo\xc3\xaete avec Charniere PP 600ml lot/10,,"XAF 2500,00",BP014,True,,Emballages,- Utilisable au micro-ondes\n- Ideal pour emballer de la nourriture.\n- Il peut \xc3\xaatre utilise pour congeler jusqu'a un maximum de -20\xc2\xbaC.\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 10 barquettes.,,-20\xc2\xbaC / +120\xc2\xbaC,600ml,,Polypropylene,10,,Transparent
True,True,['micro-ondes'],True,Polypropylene,,Barquettes transparent 700ml lot/12,,"XAF 1500,00",BP012,True,,Barquettes,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Convient pour le micro-ondes\n- Prix pour 15 barquettes.,,-20\xc2\xbaC / +380\xc2\xbaC,700ml,Rectangulaire,Polypropylene,15,,Transparent
True,True,['micro-ondes'],True,Polypropylene,,Barquettes NG transparents 800ml lot/12,,"XAF 2500,00",BP008,True,,Barquettes,- Utilisable au micro-ondes\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 12 barquettes.,,-20\xc2\xbaC / +120\xc2\xbaC,800ml,Rectangulaire,Polypropylene,12,,Transparent
False,True,[],False,PP (Polypropylene),Poulet a Emporter,Chicken PP bowl lot/5,,"XAF 3000,00",BP013,True,,Barquettes,- Barquettes ideales pour le poulet a emporter et bien plus.\n- Reutilisables et facile a nettoyer.\n- Prix pour 5 barquettes.,,-20\xc2\xbaC / +380\xc2\xbaC,,,PP (Polypropylene),5,,Noire
True,True,[],False,PP (Polypropylene),Repas a emporter,Barquettes SJ flat rb 800ml lot/10,,"XAF 2200,00",BP005,True,,Barquettes,- Barquette en polypropylene.\n- Prix pour 10 barquettes.,,-20\xc2\xbaC / +380\xc2\xbaC,800ml,Rectangulaire,PP (Polypropylene),10,,Rouge/noire
False,True,[],False,Polypropylene,Plats a emporter,Barquettes NG rond transparent 800ml lot/20,,"XAF 3000,00",BP010,True,,Barquettes,- Barquette en polypropylene.\n- Prix pour 20 barquettes.,,-20\xc2\xbaC / +380\xc2\xbaC,800ml,Ronde,Polypropylene,20,,Transparent
True,True,[],False,PP (Polypropylene),Repas a Emporter,Barquettes DL 700ml rb lot/10,,"XAF 2000,00",BP001,True,,Barquettes,- Facile a nettoyer\n- Ne garde pas d'odeur\n- Compatible aux micro-ondes\n- Ne garde pas de t\xc3\xa2ches\n- Prix pour 10 barquettes.,True,-20\xc2\xbaC / +380\xc2\xbaC,700ml,Carre,PP (Polypropylene),10,1,Rouge/noire
False,True,[],False,Polypropylene,Plats a emporter,Barquettes NG rond transparent 800ml lot/20,,"XAF 3000,00",BP010,True,,Barquettes,- Barquette en polypropylene.\n- Prix pour 20 barquettes.,,-20\xc2\xbaC / +380\xc2\xbaC,800ml,Ronde,Polypropylene,20,,Transparent
True,True,[],False,XPP polystyrene,Repas a Em,Barquettes polystyrene grand model lot/50,,"XAF 4500,00",GAM011,True,,Barquettes,"- C'est un isolant thermique, qui maintient l'etat des aliments.\n- Il ne ramollit pas et ne laisse pas fuir les liquides.\n- C'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\n- Prix pour 50 barquettes.",,,,,XPP polystyrene,50,1,Blanc
True,True,[],False,XPP polystyrene,Repas a Emporter,Barquettes polystyrene petit model lot/100,,"XAF 5000,00",GAM012,True,,Barquettes,"- C'est un isolant thermique, qui maintient l'etat des aliments.\n- Il ne ramollit pas et ne laisse pas fuir les liquides.\n- C'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\n- Prix pour 100 barquettes.",,,,,XPP polystyrene,100,1,Plusieurs
True,True,[],False,Carton alimentaire,Repas a Emporter,kraft bowl rectangulaire 900ml lot/12,,"XAF 3000,00",BKR001,True,,Barquettes,"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",,,,Rectangulaire,Carton alimentaire,12,,Kraft
True,True,[],False,Carton alimentaire,Repas a Emporter,kraft bowl rectangulaire 1250ml lot/12,,"XAF 3850,00",BKR002,True,,Barquettes,"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",,,,Rectangulaire,Carton alimentaire,12,,Kraft
True,True,[],False,Carton alimentaire,,Kraft bowl rectangulaire avec comp. 1200ml lot/12,,"XAF 5000,00",BKR005,True,,Barquettes,"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",,,,Rectangulaire,Carton alimentaire,12,,Kraft
True,True,[],False,Carton alimentaire,Repas a Emporter,Barquettes afritude en carton lot/25,,"XAF 7500,00",GAM013,True,,Barquettes,"- Impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Resistant aux chocs et aux impacts.\n- Prix pour 25 barquettes.",,,19 x 13 x 7 cm,Rectangulaire,Carton alimentaire,25,,Afritude
True,True,[],True,Aluminium,"Repas a Emporter, service",Plateau aluminium rectangulaire AVEC couvercle lot/5 (32 x 26 x 7) cm,,"XAF 4500,00",PLT002,True,,Plateaux,- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 05 plateaux.,,-20\xc2\xbaC / +380\xc2\xbaC,32 x 26 x 7 cm,Rectangulaire,Aluminium,5,,Metallises
True,True,[],True,Aluminium,"Repas a Emporter, service",Plateaux aluminium ovale (46 x 35 x 9) cm lot/05,,"XAF 9000,00",PLT0040,True,,Plateaux,- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 05 plateaux.,,-20\xc2\xbaC / +380\xc2\xbaC,46 x 35 x 9 cm,Ovale,Aluminium,5,,Metallises
True,True,[],False,Aluminium,"Repas a emporter, service",Plateaux aluminium rectangulaire lot/05,,"XAF 7000,00",PLT001,True,,Plateaux,-Recyclable et resistant aux graisses et aux huiles.\n-Plage de temperature min/max: -20\xc2\xbaC/+380\xc2\xbaC.\n-Compatible avec la congelation par air pulse et la fermeture par film plastique.\n-Couvercles compatibles disponibles dans les accessoires.\n-Prix pour 05 plateaux.,,-20\xc2\xbaC/+380\xc2\xbaC,46 x 35 x 9 cm,Rectangulaire,Aluminium,5,,Metallises
True,True,[],False,Polystyrene,Repas a Emporter,Plateau en polystyrene lot/15,,"XAF 4000,00",PLT003,True,,Plateaux,"-La couleur blanche vehicule une image de proprete, et rapidement associee a des produits frais ou froid.\n-Rectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\n-Conformes aux exigences medicales et alimentaires.\n-Ideal pour presenter aliments frais pour leur commercialisation\n-Prix pour 15 plateaux.",,,,,Polystyrene,15,,Blanche
True,True,[],False,Polystyrene,Repas a Emporter,Plateau en polystyrene lot/22,,"XAF 1500,00",PLT006,True,,Plateaux,"-La couleur blanche vehicule une image de proprete, et rapidement associee a des produits frais ou froid.\n-Rectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\n-Conformes aux exigences medicales et alimentaires.\n-Ideal pour presenter aliments frais pour leur commercialisation\n-Prx pour 22 plateaux.",,,,,Polystyrene,22,,Blanche
True,True,[],False,Polypropylene,Repas a consomme surplace,Assiettes en plastique jetable blanc lot/50,,"XAF 2500,00",PL001,True,,Assiettes,-Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations\n-Assent aussi de plateau pour service.,,,,Ronde,Polypropylene,50,1,Blanc
True,True,[],False,Polypropylene,Repas a manger sur place,Assiettes en plastique HP jetable blanc lot/25,,"XAF 2500,00",PL002,True,,Assiettes,-Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations.\n-Assent aussi de plateau pour service.,,,,Ronde,Polypropylene,25,1,Blanc
True,True,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",,Polypropylene,,Assiettes en plastique jetable color lot/10,,"XAF 1250,00",PL007,True,,Assiettes,Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations. Servent aussi de plateau pour service.,,,22 cm,Rond,Polypropylene,10,1,Plusieurs
True,True,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",,Polypropylene,,Assiettes en plastique jetable color lot/10,,"XAF 1000,00",PL008,True,,Assiettes,Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations. Servent aussi de plateau pour service.,,,18 cm,Rond,Polypropylene,10,1,Plusieurs
True,True,['Plateaux de service ou sous plats'],,Carton alimentaire,,Assiettes en carton couleur or lot/10,,"XAF 2000,00",PL012,True,,Assiettes,Assiettes en carton en couleur or. Particulierement utilise comme plateaux de service ou sous plats.,,,29 cm,Rond,Carton alimentaire,10,,Or
True,True,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",,Carton alimentaire,,Assiettes en carton couleur or lot/10,,"XAF 1000,00",PL011,True,,Assiettes,Assiettes en carton en couleur or. Particulierement utilise comme plats pour repas.,,,19 cm,Rond,Carton alimentaire,10,,Or
True,True,['Degustation'],,Carton alimentaire,,Plats a g\xc3\xa2teau en carton lot/18,,"XAF 1000,00",PL009,True,,Assiettes,Petits plats en carton. Ideal pour partager des tranches de g\xc3\xa2teaux pendant des manifestations.,,,14 cm,Rond,Carton alimentaire,18,,Blanc
True,,"['Repas a manger sur place', 'Petit plateau de service']",,Carton alimentaire,,Plats FALCON en carton lot/100,True,"XAF 4000,00",PL015,True,,Assiettes,Assiettes en carton 100% biodegradable. Eco-friendly.,,,23 cm,Rond,Carton alimentaire,100,,Blanc
True,True,"['Repas a manger sur place', 'Petit plateau de service']",,Carton alimentaire,,Plats FALCON en carton lot/100,,"XAF 2800,00",PL017,True,,Assiettes,Assiettes en carton 100% biodegradable. Eco-friendly.,,,18 cm,Rond,Carton alimentaire,100,,Blanc
True,True,,,Polypropylene,,HP PP trays,,"XAF 6000,00",ASS005,True,,Assiettes,,,,,Rectangulaire,Polypropylene,39 - 45 pieces,,Blanc
True,True,,,Carton alimentaire,,Assiettes en carton,,"XAF 1000,00",PL018,True,,Assiettes,,,,,Rond,Carton alimentaire,10,,Blanc etoile
True,True,,,Plastique,,Cuilleres jetables blanches,,"XAF 700,00",couv001,True,,Cuilleres,,,,,Rond,Plastique,50,,Blanche
True,True,,,Plastique,,Fourchettes jetables blanches,,"XAF 700,00",couv001,True,,Fourchettes,,,,,Rond,Plastique,50,,Blanche
False,True,,,Plastique,,Cuilleres reutilisables transparentes,,"XAF 2000,00",couv003,True,,Cuilleres,,,,,Rond,Plastique,50,,Transparent
False,True,,,Plastique,,Fourchettes reutilisables transparentes,,"XAF 2000,00",couv003,True,,Fourchettes,,,,,Rond,Plastique,50,,Transparent
True,True,,,Plastique,,Cuilleres a dessert jetables blanches,,"XAF 500,00",couv004,True,,Cuilleres,,,,,Rond,Plastique,50,,Blanche
True,True,,,Plastique,,Cuilleres jetables en or,,"XAF 1000,00",couv006,True,,Cuilleres,,,,,Rond,Plastique,10,,Or
True,True,,,Plastique,,Fourchettes jetables en or,,"XAF 1000,00",couv006,True,,Fourchettes,,,,,Rond,Plastique,10,,Or
True,True,,,Plastique,,Cuilleres a glace en plastique,,"XAF 500,00",couv008,True,,Cuilleres,,,,,Rond,Plastique,24,,
True,True,,,Plastique,,Fruit fork en plastique,,"XAF 750,00",couv009,True,,Fourchettes,,,,,Rond,Plastique,50,,
False,True,,,Varies,,Kits couverts,,"XAF 3000,00",couv010,False,,Kits,,,,,Varies,Varies,25,,
True,True,,,Plastique,,Cuilleres a dessert jetables transparents,,"XAF 1000,00",couv014,True,,Cuilleres,,,,,Rond,Plastique,50,,Transparent
True,True,,,Bois,,Fourchettes jetables en bois,,"XAF 2000,00",couv016,True,,Fourchettes,,,,,Rond,Bois,50,,
True,True,,,Bois,,Cuillere a glace en bois,,"XAF 1000,00",couv018,True,,Cuilleres,,,,,Rond,Bois,50,,
True,True,,,Biodegradable,,Couteaux jetables LP blanc,,"XAF 500,00",cout001,True,,Couteaux,,,,,Rond,Biodegradable,20,,Blanc
