units_per_package,cover_available,ideal_for,color,shape,disposable,type,description,suitable_for,categories,length,material,temperature_range,price,dimension,product_code,recyclable,nom_du_produit,food_contact_safe,width,currency,compartiments
paquet de 50,False,,Bleu,,True,Gobelet,Gobelet bleu fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"3500,00",,RC501,True,BLUE CUP,True,,XAF,0
paquet de 50,False,,Bleu,,True,Gobelet,Gobelet bleu fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"3500,00",,RC504,True,LIGHT BLUE CUP,True,,XAF,0
paquet de 50,False,,Vert,,True,Gobelet,Gobelet vert fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"3500,00",,RC502,True,GREEN CUP,True,,XAF,0
paquet de 50,False,,Orange,,True,Gobelet,Gobelet orange fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 400ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"3500,00",,RC503,True,ORANGE CUP,True,,XAF,0
paquet de 50,False,,Bleu,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB010,True,Gobelets COLOR 200ml bleu,True,,XAF,0
paquet de 50,False,,Jaune,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB0101,True,Gobelets COLOR 200ml jaune,True,,XAF,0
paquet de 50,False,,Rose,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB0102,True,Gobelets COLOR 200ml rose,True,,XAF,0
paquet de 50,False,,Violet,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB0103,True,Gobelets COLOR 200 ml violet,True,,XAF,0
paquet de 50,False,,Orange,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB0104,True,Gobelets COLOR 200ml orange,True,,XAF,0
paquet de 50,False,,Vert,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB0105,True,Gobelets COLOR 200ml vert,True,,XAF,0
paquet de 50,False,,Rouge,,True,Gobelet,Gobelet fabriqu\xc3\xa9 en polystyr\xc3\xa8ne. Contenance : 200ml. Id\xc3\xa9al pour les boissons froides.,['Boissons froides'],['Gobelets'],,Polystyr\xc3\xa8ne,,"1000,00",,GOB0106,True,Gobelets COLOR 200ml rouge,True,,XAF,0
pack de 6,False,,Transparente,,True,Fl\xc3\xbbte \xc3\xa0 Champagne,"Fl\xc3\xbbte \xc3\xa0 Champagne, transparente de 150ml. Fabriqu\xc3\xa9 en Polystyr\xc3\xa8ne Cristal. Paquet de 6 unit\xc3\xa9s.",['Champagne'],['Gobelets'],,Polystyr\xc3\xa8ne Cristal,,"2000,00",,FLUOO1,True,Fl\xc3\xbbtes \xc3\xa0 champagne transparente /6,True,,XAF,0
