description,shape,compartiments,type,color,nom du produit,disposable,safe,suitable_for,material,keeps_no_odor,recyclable,units_per_package,product_code,price,temperature_range,dimension,food_contact_safe,cover_available,ideal_for,food_contact:
- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Ne garde pas d'odeur\n- Convient pour le micro-ondes\n- Prix pour 05 barquettes.,Rectangulaire,,Barquettes,Noire,Barquettes edi black 1000ml lot/5,True,,['micro-ondes'],Polypropylene,True,True,5,BP006,"XAF 1750,00",-20\xc2\xbaC / +380\xc2\xbaC,1000ml,True,True,Repas a Emporter,
- Facile a nettoyer\n- Ne garde pas d'odeur\n- Compatible aux micro-ondes\n- Ne garde pas de t\xc3\xa2ches\n- Prix pour 05 barquettes.,Rectangulaire,,Barquettes,Rouge/noire,barquettes HP red/black 1200ml lot/5,True,,[],Polypropylene,True,True,5,BP002,"XAF 2500,00",-20\xc2\xbaC / +380\xc2\xbaC,1200ml,True,False,Repas a Emporter,
- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Convient pour le micro-ondes\n- Prix pour 12 barquettes.,Rectangulaire,,Barquettes,Transparent,Barquettes SJ transparent 1250ml lot/12,True,,['micro-ondes'],Polypropylene,,True,12,BP009,"XAF 3500,00",-20\xc2\xbaC / +380\xc2\xbaC,1250ml,True,True,,
- Utilisable au micro-ondes\n- Ideal pour emballer de la nourriture.\n- Il peut \xc3\xaatre utilise pour congeler jusqu'a un maximum de -20\xc2\xbaC.\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 10 barquettes.,,,Emballages,Transparent,Bo\xc3\xaete avec Charniere PP 500ml lot/10,False,,"['micro-ondes', 'congelation']",Polypropylene,,True,10,BP015,"XAF 2000,00",-20\xc2\xbaC / +120\xc2\xbaC,500ml,True,False,,
- Utilisable au micro-ondes\n- Ideal pour emballer de la nourriture.\n- Il peut \xc3\xaatre utilise pour congeler jusqu'a un maximum de -20\xc2\xbaC.\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 10 barquettes.,,,Emballages,Transparent,Bo\xc3\xaete avec Charniere PP 600ml lot/10,False,,"['micro-ondes', 'congelation']",Polypropylene,,True,10,BP014,"XAF 2500,00",-20\xc2\xbaC / +120\xc2\xbaC,600ml,True,False,,
- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Convient pour le micro-ondes\n- Prix pour 15 barquettes.,Rectangulaire,,Barquettes,Transparent,Barquettes transparent 700ml lot/12,True,,['micro-ondes'],Polypropylene,,True,15,BP012,"XAF 1500,00",-20\xc2\xbaC / +380\xc2\xbaC,700ml,True,True,,
- Utilisable au micro-ondes\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 12 barquettes.,Rectangulaire,,Barquettes,Transparent,Barquettes NG transparents 800ml lot/12,True,,['micro-ondes'],Polypropylene,,True,12,BP008,"XAF 2500,00",-20\xc2\xbaC / +120\xc2\xbaC,800ml,True,True,,
- Barquettes ideales pour le poulet a emporter et bien plus.\n- Reutilisables et facile a nettoyer.\n- Prix pour 5 barquettes.,,,Barquettes,Noire,Chicken PP bowl lot/5,False,,[],PP (Polypropylene),,True,5,BP013,"XAF 3000,00",-20\xc2\xbaC / +380\xc2\xbaC,,True,False,Poulet a Emporter,
- Barquette en polypropylene.\n- Prix pour 10 barquettes.,Rectangulaire,,Barquettes,Rouge/noire,Barquettes SJ flat rb 800ml lot/10,True,,[],PP (Polypropylene),,True,10,BP005,"XAF 2200,00",-20\xc2\xbaC / +380\xc2\xbaC,800ml,True,False,Repas a emporter,
- Barquette en polypropylene.\n- Prix pour 20 barquettes.,Ronde,,Barquettes,Transparent,Barquettes NG rond transparent 800ml lot/20,False,,[],Polypropylene,,True,20,BP010,"XAF 3000,00",-20\xc2\xbaC / +380\xc2\xbaC,800ml,True,False,Plats a emporter,
- Facile a nettoyer\n- Ne garde pas d'odeur\n- Compatible aux micro-ondes\n- Ne garde pas de t\xc3\xa2ches\n- Prix pour 10 barquettes.,Carre,1,Barquettes,Rouge/noire,Barquettes DL 700ml rb lot/10,True,,[],PP (Polypropylene),True,True,10,BP001,"XAF 2000,00",-20\xc2\xbaC / +380\xc2\xbaC,700ml,True,False,Repas a Emporter,
- Barquette en polypropylene.\n- Prix pour 20 barquettes.,Ronde,,Barquettes,Transparent,Barquettes NG rond transparent 800ml lot/20,False,,[],Polypropylene,,True,20,BP010,"XAF 3000,00",-20\xc2\xbaC / +380\xc2\xbaC,800ml,True,False,Plats a emporter,
"- C'est un isolant thermique, qui maintient l'etat des aliments.\n- Il ne ramollit pas et ne laisse pas fuir les liquides.\n- C'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\n- Prix pour 50 barquettes.",,1,Barquettes,Blanc,Barquettes polystyrene grand model lot/50,True,,[],XPP polystyrene,,True,50,GAM011,"XAF 4500,00",,,True,False,Repas a Em,
"- C'est un isolant thermique, qui maintient l'etat des aliments.\n- Il ne ramollit pas et ne laisse pas fuir les liquides.\n- C'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\n- Prix pour 100 barquettes.",,1,Barquettes,Plusieurs,Barquettes polystyrene petit model lot/100,True,,[],XPP polystyrene,,True,100,GAM012,"XAF 5000,00",,,True,False,Repas a Emporter,
"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",Rectangulaire,,Barquettes,Kraft,kraft bowl rectangulaire 900ml lot/12,True,,[],Carton alimentaire,,True,12,BKR001,"XAF 3000,00",,,True,False,Repas a Emporter,
"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",Rectangulaire,,Barquettes,Kraft,kraft bowl rectangulaire 1250ml lot/12,True,,[],Carton alimentaire,,True,12,BKR002,"XAF 3850,00",,,True,False,Repas a Emporter,
"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",Rectangulaire,,Barquettes,Kraft,Kraft bowl rectangulaire avec comp. 1200ml lot/12,True,,[],Carton alimentaire,,True,12,BKR005,"XAF 5000,00",,,True,False,,
"- Impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Resistant aux chocs et aux impacts.\n- Prix pour 25 barquettes.",Rectangulaire,,Barquettes,Afritude,Barquettes afritude en carton lot/25,True,,[],Carton alimentaire,,True,25,GAM013,"XAF 7500,00",,19 x 13 x 7 cm,True,False,Repas a Emporter,
- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 05 plateaux.,Rectangulaire,,Plateaux,Metallises,Plateau aluminium rectangulaire AVEC couvercle lot/5 (32 x 26 x 7) cm,True,,[],Aluminium,,True,5,PLT002,"XAF 4500,00",-20\xc2\xbaC / +380\xc2\xbaC,32 x 26 x 7 cm,True,True,"Repas a Emporter, service",
- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 05 plateaux.,Ovale,,Plateaux,Metallises,Plateaux aluminium ovale (46 x 35 x 9) cm lot/05,True,,[],Aluminium,,True,5,PLT0040,"XAF 9000,00",-20\xc2\xbaC / +380\xc2\xbaC,46 x 35 x 9 cm,True,True,"Repas a Emporter, service",
-Recyclable et resistant aux graisses et aux huiles.\n-Plage de temperature min/max: -20\xc2\xbaC/+380\xc2\xbaC.\n-Compatible avec la congelation par air pulse et la fermeture par film plastique.\n-Couvercles compatibles disponibles dans les accessoires.\n-Prix pour 05 plateaux.,Rectangulaire,,Plateaux,Metallises,Plateaux aluminium rectangulaire lot/05,True,,[],Aluminium,,True,5,PLT001,"XAF 7000,00",-20\xc2\xbaC/+380\xc2\xbaC,46 x 35 x 9 cm,True,False,"Repas a emporter, service",
"-La couleur blanche vehicule une image de proprete, et rapidement associee a des produits frais ou froid.\n-Rectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\n-Conformes aux exigences medicales et alimentaires.\n-Ideal pour presenter aliments frais pour leur commercialisation\n-Prix pour 15 plateaux.",,,Plateaux,Blanche,Plateau en polystyrene lot/15,True,,[],Polystyrene,,True,15,PLT003,"XAF 4000,00",,,True,False,Repas a Emporter,
"-La couleur blanche vehicule une image de proprete, et rapidement associee a des produits frais ou froid.\n-Rectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\n-Conformes aux exigences medicales et alimentaires.\n-Ideal pour presenter aliments frais pour leur commercialisation\n-Prx pour 22 plateaux.",,,Plateaux,Blanche,Plateau en polystyrene lot/22,True,,[],Polystyrene,,True,22,PLT006,"XAF 1500,00",,,True,False,Repas a Emporter,
-Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations\n-Assent aussi de plateau pour service.,Ronde,1,Assiettes,Blanc,Assiettes en plastique jetable blanc lot/50,True,,[],Polypropylene,,True,50,PL001,"XAF 2500,00",,,True,False,Repas a consomme surplace,
-Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations.\n-Assent aussi de plateau pour service.,Ronde,1,Assiettes,Blanc,Assiettes en plastique HP jetable blanc lot/25,True,,[],Polypropylene,,True,25,PL002,"XAF 2500,00",,,True,False,Repas a manger sur place,
Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations. Servent aussi de plateau pour service.,Rond,1,Assiettes,Plusieurs,Assiettes en plastique jetable color lot/10,True,,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",Polypropylene,,True,10,PL007,"XAF 1250,00",,22 cm,True,,,
Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations. Servent aussi de plateau pour service.,Rond,1,Assiettes,Plusieurs,Assiettes en plastique jetable color lot/10,True,,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",Polypropylene,,True,10,PL008,"XAF 1000,00",,18 cm,True,,,
Assiettes en carton en couleur or. Particulierement utilise comme plateaux de service ou sous plats.,Rond,,Assiettes,Or,Assiettes en carton couleur or lot/10,True,,['Plateaux de service ou sous plats'],Carton alimentaire,,True,10,PL012,"XAF 2000,00",,29 cm,True,,,
Assiettes en carton en couleur or. Particulierement utilise comme plats pour repas.,Rond,,Assiettes,Or,Assiettes en carton couleur or lot/10,True,,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",Carton alimentaire,,True,10,PL011,"XAF 1000,00",,19 cm,True,,,
Petits plats en carton. Ideal pour partager des tranches de g\xc3\xa2teaux pendant des manifestations.,Rond,,Assiettes,Blanc,Plats a g\xc3\xa2teau en carton lot/18,True,,['Degustation'],Carton alimentaire,,True,18,PL009,"XAF 1000,00",,14 cm,True,,,
Assiettes en carton 100% biodegradable. Eco-friendly.,Rond,,Assiettes,Blanc,Plats FALCON en carton lot/100,True,True,"['Repas a manger sur place', 'Petit plateau de service']",Carton alimentaire,,True,100,PL015,"XAF 4000,00",,23 cm,,,,
Assiettes en carton 100% biodegradable. Eco-friendly.,Rond,,Assiettes,Blanc,Plats FALCON en carton lot/100,True,,"['Repas a manger sur place', 'Petit plateau de service']",Carton alimentaire,,True,100,PL017,"XAF 2800,00",,18 cm,True,,,
,Rectangulaire,,Assiettes,Blanc,HP PP trays,True,,,Polypropylene,,True,39 - 45 pieces,ASS005,"XAF 6000,00",,,True,,,
,Rond,,Assiettes,Blanc etoile,Assiettes en carton,True,,,Carton alimentaire,,True,10,PL018,"XAF 1000,00",,,True,,,
,Rond,,Cuilleres,Blanche,Cuilleres jetables blanches,True,,,Plastique,,True,50,couv001,"XAF 700,00",,,True,,,
,Rond,,Fourchettes,Blanche,Fourchettes jetables blanches,True,,,Plastique,,True,50,couv001,"XAF 700,00",,,True,,,
,Rond,,Cuilleres,Transparent,Cuilleres reutilisables transparentes,False,,,Plastique,,True,50,couv003,"XAF 2000,00",,,True,,,
,Rond,,Fourchettes,Transparent,Fourchettes reutilisables transparentes,False,,,Plastique,,True,50,couv003,"XAF 2000,00",,,True,,,
,Rond,,Cuilleres,Blanche,Cuilleres a dessert jetables blanches,True,,,Plastique,,True,50,couv004,"XAF 500,00",,,True,,,
,Rond,,Cuilleres,Or,Cuilleres jetables en or,True,,,Plastique,,True,10,couv006,"XAF 1000,00",,,True,,,
,Rond,,Fourchettes,Or,Fourchettes jetables en or,True,,,Plastique,,True,10,couv006,"XAF 1000,00",,,True,,,
,Rond,,Cuilleres,,Cuilleres a glace en plastique,True,,,Plastique,,True,24,couv008,"XAF 500,00",,,True,,,
,Rond,,Fourchettes,,Fruit fork en plastique,True,,,Plastique,,True,50,couv009,"XAF 750,00",,,True,,,
,Varies,,Kits,,Kits couverts,False,,,Varies,,False,25,couv010,"XAF 3000,00",,,True,,,
,Rond,,Cuilleres,Transparent,Cuilleres a dessert jetables transparents,True,,,Plastique,,True,50,couv014,"XAF 1000,00",,,True,,,
,Rond,,Fourchettes,,Fourchettes jetables en bois,True,,,Bois,,True,50,couv016,"XAF 2000,00",,,True,,,
,Rond,,Cuilleres,,Cuillere a glace en bois,True,,,Bois,,True,50,couv018,"XAF 1000,00",,,True,,,
,Rond,,Couteaux,Blanc,Couteaux jetables LP blanc,True,,,Biodegradable,,True,20,cout001,"XAF 500,00",,,True,,,
