price,type,food_contact:,short_description,ideal_for,recyclable,product_code,safe,units_per_package,food_contact_safe,nom du produit,temperature_range,color,description,dimension,cover_available,keeps_no_odor,suitable_for,compartiments,disposable,categories,shape,material
"XAF 1750,00",Barquettes,,pack de 5,Repas a Emporter,True,BP006,,5,True,Barquettes edi black 1000ml lot/5,-20\xc2\xbaC / +380\xc2\xbaC,Noire,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Ne garde pas d'odeur\n- Convient pour le micro-ondes\n- Prix pour 05 barquettes.,1000ml,True,True,['micro-ondes'],,True,Polypropylene,Rectangulaire,Polypropylene
"XAF 2500,00",Barquettes,,pack de 5,Repas a Emporter,True,BP002,,5,True,barquettes HP red/black 1200ml lot/5,-20\xc2\xbaC / +380\xc2\xbaC,Rouge/noire,- Facile a nettoyer\n- Ne garde pas d'odeur\n- Compatible aux micro-ondes\n- Ne garde pas de t\xc3\xa2ches\n- Prix pour 05 barquettes.,1200ml,False,True,[],,True,Polypropylene,Rectangulaire,Polypropylene
"XAF 3500,00",Barquettes,,pack de 12,,True,BP009,,12,True,Barquettes SJ transparent 1250ml lot/12,-20\xc2\xbaC / +380\xc2\xbaC,Transparent,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Convient pour le micro-ondes\n- Prix pour 12 barquettes.,1250ml,True,,['micro-ondes'],,True,Polypropylene,Rectangulaire,Polypropylene
"XAF 2000,00",Emballages,,pack de 10,,True,BP015,,10,True,Bo\xc3\xaete avec Charniere PP 500ml lot/10,-20\xc2\xbaC / +120\xc2\xbaC,Transparent,- Utilisable au micro-ondes\n- Ideal pour emballer de la nourriture.\n- Il peut \xc3\xaatre utilise pour congeler jusqu'a un maximum de -20\xc2\xbaC.\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 10 barquettes.,500ml,False,,"['micro-ondes', 'congelation']",,False,Polypropylene,,Polypropylene
"XAF 2500,00",Emballages,,pack de 10,,True,BP014,,10,True,Bo\xc3\xaete avec Charniere PP 600ml lot/10,-20\xc2\xbaC / +120\xc2\xbaC,Transparent,- Utilisable au micro-ondes\n- Ideal pour emballer de la nourriture.\n- Il peut \xc3\xaatre utilise pour congeler jusqu'a un maximum de -20\xc2\xbaC.\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 10 barquettes.,600ml,False,,"['micro-ondes', 'congelation']",,False,Polypropylene,,Polypropylene
"XAF 1500,00",Barquettes,,pack de 15,,True,BP012,,15,True,Barquettes transparent 700ml lot/12,-20\xc2\xbaC / +380\xc2\xbaC,Transparent,- Facile a nettoyer\n- Peut-\xc3\xaatre chauffe au micro-ondes.\n- Convient pour le micro-ondes\n- Prix pour 15 barquettes.,700ml,True,,['micro-ondes'],,True,Polypropylene,Rectangulaire,Polypropylene
"XAF 2500,00",Barquettes,,pack de 12,,True,BP008,,12,True,Barquettes NG transparents 800ml lot/12,-20\xc2\xbaC / +120\xc2\xbaC,Transparent,- Utilisable au micro-ondes\n- On peut introduire des sauces a tres hautes temperatures (120\xc2\xbaC).\n- Il peut \xc3\xaatre en contact direct avec de la nourriture.\n- Ils sont transparents pour une plus grande visibilite a l'interieur.\n- Prix pour 12 barquettes.,800ml,True,,['micro-ondes'],,True,Polypropylene,Rectangulaire,Polypropylene
"XAF 3000,00",Barquettes,,pack de 5,Poulet a Emporter,True,BP013,,5,True,Chicken PP bowl lot/5,-20\xc2\xbaC / +380\xc2\xbaC,Noire,- Barquettes ideales pour le poulet a emporter et bien plus.\n- Reutilisables et facile a nettoyer.\n- Prix pour 5 barquettes.,,False,,[],,False,PP (Polypropylene),,PP (Polypropylene)
"XAF 2200,00",Barquettes,,pack de 10,Repas a emporter,True,BP005,,10,True,Barquettes SJ flat rb 800ml lot/10,-20\xc2\xbaC / +380\xc2\xbaC,Rouge/noire,- Barquette en polypropylene.\n- Prix pour 10 barquettes.,800ml,False,,[],,True,PP (Polypropylene),Rectangulaire,PP (Polypropylene)
"XAF 3000,00",Barquettes,,pack de 20,Plats a emporter,True,BP010,,20,True,Barquettes NG rond transparent 800ml lot/20,-20\xc2\xbaC / +380\xc2\xbaC,Transparent,- Barquette en polypropylene.\n- Prix pour 20 barquettes.,800ml,False,,[],,False,Polypropylene,Ronde,Polypropylene
"XAF 2000,00",Barquettes,,pack de 10,Repas a Emporter,True,BP001,,10,True,Barquettes DL 700ml rb lot/10,-20\xc2\xbaC / +380\xc2\xbaC,Rouge/noire,- Facile a nettoyer\n- Ne garde pas d'odeur\n- Compatible aux micro-ondes\n- Ne garde pas de t\xc3\xa2ches\n- Prix pour 10 barquettes.,700ml,False,True,[],1,True,PP (Polypropylene),Carre,PP (Polypropylene)
"XAF 3000,00",Barquettes,,pack de 20,Plats a emporter,True,BP010,,20,True,Barquettes NG rond transparent 800ml lot/20,-20\xc2\xbaC / +380\xc2\xbaC,Transparent,- Barquette en polypropylene.\n- Prix pour 20 barquettes.,800ml,False,,[],,False,Polypropylene,Ronde,Polypropylene
"XAF 4500,00",Barquettes,,pack de 50,Repas a Em,True,GAM011,,50,True,Barquettes polystyrene grand model lot/50,,Blanc,"- C'est un isolant thermique, qui maintient l'etat des aliments.\n- Il ne ramollit pas et ne laisse pas fuir les liquides.\n- C'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\n- Prix pour 50 barquettes.",,False,,[],1,True,XPP polystyrene,,XPP polystyrene
"XAF 5000,00",Barquettes,,pack de 100,Repas a Emporter,True,GAM012,,100,True,Barquettes polystyrene petit model lot/100,,Plusieurs,"- C'est un isolant thermique, qui maintient l'etat des aliments.\n- Il ne ramollit pas et ne laisse pas fuir les liquides.\n- C'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\n- Prix pour 100 barquettes.",,False,,[],1,True,XPP polystyrene,,XPP polystyrene
"XAF 3000,00",Barquettes,,pack de 12,Repas a Emporter,True,BKR001,,12,True,kraft bowl rectangulaire 900ml lot/12,,Kraft,"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",,False,,[],,True,Carton alimentaire,Rectangulaire,Carton alimentaire
"XAF 3850,00",Barquettes,,pack de 12,Repas a Emporter,True,BKR002,,12,True,kraft bowl rectangulaire 1250ml lot/12,,Kraft,"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",,False,,[],,True,Carton alimentaire,Rectangulaire,Carton alimentaire
"XAF 5000,00",Barquettes,,pack de 12,,True,BKR005,,12,True,Kraft bowl rectangulaire avec comp. 1200ml lot/12,,Kraft,"- Barquettes en carton Kraft avec couvercle en PP.\n- Fabrique en papier Kraft-Kraft avec certificat FSC et avec un laminage interieur le rendant impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Leger et facile a ranger.\n- Resistant aux chocs et aux impacts.\n- Prix pour 12 barquettes.",,False,,[],,True,Carton alimentaire,Rectangulaire,Carton alimentaire
"XAF 7500,00",Barquettes,,pack de 25,Repas a Emporter,True,GAM013,,25,True,Barquettes afritude en carton lot/25,,Afritude,"- Impermeable.\n- Isolant thermique, garde les aliments frais plus longtemps.\n- Il permet de transporter des aliments liquides et solides.\n- Resistant aux chocs et aux impacts.\n- Prix pour 25 barquettes.",19 x 13 x 7 cm,False,,[],,True,Carton alimentaire,Rectangulaire,Carton alimentaire
"XAF 4500,00",Plateaux,,pack de 5,"Repas a Emporter, service",True,PLT002,,5,True,Plateau aluminium rectangulaire AVEC couvercle lot/5 (32 x 26 x 7) cm,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 05 plateaux.,32 x 26 x 7 cm,True,,[],,True,Aluminium,Rectangulaire,Aluminium
"XAF 9000,00",Plateaux,,pack de 5,"Repas a Emporter, service",True,PLT0040,,5,True,Plateaux aluminium ovale (46 x 35 x 9) cm lot/05,-20\xc2\xbaC / +380\xc2\xbaC,Metallises,- Recyclable et resistant aux graisses et aux huiles.\n- Plage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\n- Compatible avec la congelation par air pulse et la fermeture par film plastique.\n- Couvercles compatibles disponibles dans les accessoires.\n- Prix pour 05 plateaux.,46 x 35 x 9 cm,True,,[],,True,Aluminium,Ovale,Aluminium
"XAF 7000,00",Plateaux,,pack de 5,"Repas a emporter, service",True,PLT001,,5,True,Plateaux aluminium rectangulaire lot/05,-20\xc2\xbaC/+380\xc2\xbaC,Metallises,-Recyclable et resistant aux graisses et aux huiles.\n-Plage de temperature min/max: -20\xc2\xbaC/+380\xc2\xbaC.\n-Compatible avec la congelation par air pulse et la fermeture par film plastique.\n-Couvercles compatibles disponibles dans les accessoires.\n-Prix pour 05 plateaux.,46 x 35 x 9 cm,False,,[],,True,Aluminium,Rectangulaire,Aluminium
"XAF 4000,00",Plateaux,,pack de 15,Repas a Emporter,True,PLT003,,15,True,Plateau en polystyrene lot/15,,Blanche,"-La couleur blanche vehicule une image de proprete, et rapidement associee a des produits frais ou froid.\n-Rectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\n-Conformes aux exigences medicales et alimentaires.\n-Ideal pour presenter aliments frais pour leur commercialisation\n-Prix pour 15 plateaux.",,False,,[],,True,Polystyrene,,Polystyrene
"XAF 1500,00",Plateaux,,pack de 22,Repas a Emporter,True,PLT006,,22,True,Plateau en polystyrene lot/22,,Blanche,"-La couleur blanche vehicule une image de proprete, et rapidement associee a des produits frais ou froid.\n-Rectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\n-Conformes aux exigences medicales et alimentaires.\n-Ideal pour presenter aliments frais pour leur commercialisation\n-Prx pour 22 plateaux.",,False,,[],,True,Polystyrene,,Polystyrene
"XAF 2500,00",Assiettes,,pack de 50,Repas a consomme surplace,True,PL001,,50,True,Assiettes en plastique jetable blanc lot/50,,Blanc,-Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations\n-Assent aussi de plateau pour service.,,False,,[],1,True,Polypropylene,Ronde,Polypropylene
"XAF 2500,00",Assiettes,,pack de 25,Repas a manger sur place,True,PL002,,25,True,Assiettes en plastique HP jetable blanc lot/25,,Blanc,-Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations.\n-Assent aussi de plateau pour service.,,False,,[],1,True,Polypropylene,Ronde,Polypropylene
"XAF 1250,00",Assiettes,,pack de 10,,True,PL007,,10,True,Assiettes en plastique jetable color lot/10,,Plusieurs,Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations. Servent aussi de plateau pour service.,22 cm,,,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",1,True,Polypropylene,Rond,Polypropylene
"XAF 1000,00",Assiettes,,pack de 10,,True,PL008,,10,True,Assiettes en plastique jetable color lot/10,,Plusieurs,Assiettes en polypropylene. Ideal pour servir la nourriture aux enfants pendant les manifestations. Servent aussi de plateau pour service.,18 cm,,,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",1,True,Polypropylene,Rond,Polypropylene
"XAF 2000,00",Assiettes,,pack de 10,,True,PL012,,10,True,Assiettes en carton couleur or lot/10,,Or,Assiettes en carton en couleur or. Particulierement utilise comme plateaux de service ou sous plats.,29 cm,,,['Plateaux de service ou sous plats'],,True,Carton alimentaire,Rond,Carton alimentaire
"XAF 1000,00",Assiettes,,pack de 10,,True,PL011,,10,True,Assiettes en carton couleur or lot/10,,Or,Assiettes en carton en couleur or. Particulierement utilise comme plats pour repas.,19 cm,,,"['Repas a manger sur place pour enfant', 'Petit plateau pour service']",,True,Carton alimentaire,Rond,Carton alimentaire
"XAF 1000,00",Assiettes,,pack de 18,,True,PL009,,18,True,Plats a g\xc3\xa2teau en carton lot/18,,Blanc,Petits plats en carton. Ideal pour partager des tranches de g\xc3\xa2teaux pendant des manifestations.,14 cm,,,['Degustation'],,True,Carton alimentaire,Rond,Carton alimentaire
"XAF 4000,00",Assiettes,,pack de 100,,True,PL015,True,100,,Plats FALCON en carton lot/100,,Blanc,Assiettes en carton 100% biodegradable. Eco-friendly.,23 cm,,,"['Repas a manger sur place', 'Petit plateau de service']",,True,Carton alimentaire,Rond,Carton alimentaire
"XAF 2800,00",Assiettes,,pack de 100,,True,PL017,,100,True,Plats FALCON en carton lot/100,,Blanc,Assiettes en carton 100% biodegradable. Eco-friendly.,18 cm,,,"['Repas a manger sur place', 'Petit plateau de service']",,True,Carton alimentaire,Rond,Carton alimentaire
"XAF 6000,00",Assiettes,,pack de 39 - 45 pieces,,True,ASS005,,39 - 45 pieces,True,HP PP trays,,Blanc,,,,,,,True,Polypropylene,Rectangulaire,Polypropylene
"XAF 1000,00",Assiettes,,pack de 10,,True,PL018,,10,True,Assiettes en carton,,Blanc etoile,,,,,,,True,Carton alimentaire,Rond,Carton alimentaire
"XAF 700,00",Cuilleres,,pack de 50,,True,couv001,,50,True,Cuilleres jetables blanches,,Blanche,,,,,,,True,Plastique,Rond,Plastique
"XAF 700,00",Fourchettes,,pack de 50,,True,couv001,,50,True,Fourchettes jetables blanches,,Blanche,,,,,,,True,Plastique,Rond,Plastique
"XAF 2000,00",Cuilleres,,pack de 50,,True,couv003,,50,True,Cuilleres reutilisables transparentes,,Transparent,,,,,,,False,Plastique,Rond,Plastique
"XAF 2000,00",Fourchettes,,pack de 50,,True,couv003,,50,True,Fourchettes reutilisables transparentes,,Transparent,,,,,,,False,Plastique,Rond,Plastique
"XAF 500,00",Cuilleres,,pack de 50,,True,couv004,,50,True,Cuilleres a dessert jetables blanches,,Blanche,,,,,,,True,Plastique,Rond,Plastique
"XAF 1000,00",Cuilleres,,pack de 10,,True,couv006,,10,True,Cuilleres jetables en or,,Or,,,,,,,True,Plastique,Rond,Plastique
"XAF 1000,00",Fourchettes,,pack de 10,,True,couv006,,10,True,Fourchettes jetables en or,,Or,,,,,,,True,Plastique,Rond,Plastique
"XAF 500,00",Cuilleres,,pack de 24,,True,couv008,,24,True,Cuilleres a glace en plastique,,,,,,,,,True,Plastique,Rond,Plastique
"XAF 750,00",Fourchettes,,pack de 50,,True,couv009,,50,True,Fruit fork en plastique,,,,,,,,,True,Plastique,Rond,Plastique
"XAF 3000,00",Kits,,pack de 25,,False,couv010,,25,True,Kits couverts,,,,,,,,,False,Varies,Varies,Varies
"XAF 1000,00",Cuilleres,,pack de 50,,True,couv014,,50,True,Cuilleres a dessert jetables transparents,,Transparent,,,,,,,True,Plastique,Rond,Plastique
"XAF 2000,00",Fourchettes,,pack de 50,,True,couv016,,50,True,Fourchettes jetables en bois,,,,,,,,,True,Bois,Rond,Bois
"XAF 1000,00",Cuilleres,,pack de 50,,True,couv018,,50,True,Cuillere a glace en bois,,,,,,,,,True,Bois,Rond,Bois
"XAF 500,00",Couteaux,,pack de 20,,True,cout001,,20,True,Couteaux jetables LP blanc,,Blanc,,,,,,,True,Biodegradable,Rond,Biodegradable
