SKU,Title,Price (FCFA),Image URL
BFBGBL,"Birthday Glitz Blue Happy Birthday Prismatic Foil Balloon - 18""",1410.55 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFBGBK,"Birthday Glitz Black & Silver Happy Birthday Prismatic Foil Balloon - 18""",1353.85 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFGDC,"Gold Celebration ""Happy Birthday"" Foil Balloon - 18""",1587.76 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFPKC,"Pink Celebration ""Happy Birthday"" Foil Balloon - 18""",1587.76 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFHBGD,"Happy Birthday Art Deco Diamond Balloon - 18""",1389.29 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFRAB,Rainbow Birthday Foil Balloon - 46cm,1410.55 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BFTRCO,"Triangle Confetti Birthday Foil Balloon - 18""",1410.55 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11BGRGHB,"Birthday Glitz Rose Gold Happy Birthday Pearlised Latex Balloons - 12"" - Pack of 6",1353.85 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11HBRG,"Rose Gold Happy Birthday Latex Balloons - 11"" - Pack of 10",2594.28 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11CGZ,"Clear Latex Glitzy Birthday Balloons with Confetti - 12"" - Pack of 6",1183.73 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11CHBP,"Happy Birthday Confetti Balloons - 12"" - Pastel Party - Pack of 5",2303.66 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11GCHB,"Gold Celebration Happy Birthday Latex Balloons - 11"" - Pack of 6",1587.76 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11PKCB,"Pink Celebration Happy Birthday Latex Balloons - 11"" - Pack of 6",1587.76 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11BGBK,Birthday Glitz Black & Silver Happy Birthday Pearlised Latex Balloons - 30.5cm - Pack of 6 - Assorted,1353.85 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11BGBLHB,Birthday Glitz Blue Happy Birthday Pearlised Latex Balloons - Pack of 6,1353.85 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
BHB10,Happy Birthday Latex Balloons - Assorted Colours - Pack of 10,886.03 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
B11BHB,"Happy Birthday Latex Balloons - Assorted Colours - 12"" - Pack of 5",1297.14 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBBHBM,Inflated Marble Happy Birthday Balloon Bundle in a Box,17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBBSB,Inflated Ice Cream Happy Birthday Balloon Bundle in a Box,17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBBRB,Inflated Rainbow Happy Birthday Balloon Bundle in a Box,17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBBGC,Inflated Gold Celebration Happy Birthday Balloon Bundle in a Box,17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
SBBGLRG,Inflated Rose Gold Birthday Glitz Balloon Bundle in a Box,17713.41 FCFA,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
