color,disposable,temperature_range,food_contact_safe,type,cover_available,units_per_package,price,shape,product_code,description,suitable_for,nom_du_produit,material,categories,ideal_for,dimension,compartiments,currency,recyclable
noire,True,,True,,False,pack de 5,"XAF 1750,00",rectangulaire,BP006,Dimension : 1000 ml\nMateriel : polypropylene\nForme : rectangulaire\nContact alimentaire : oui\nCouleur : noire\nFacile \xc3\xa0 nettoyer\nPeut-\xc3\xaatre chauffe au micro-onde.\nIdeal pour : repas \xc3\xa0 emporter\nRecyclable\nPrix pour 5 barquettes.\nUnites par paquet\npack de 5,['micro-ondes'],Barquette PP EDI 1000ml,polypropylene,"Polypropylene, Barquettes",repas \xc3\xa0 emporter,1000 ml,0,XAF,True
noire /rouge,True,,True,,False,pack de 5,"XAF 2500,00",rectangulaire,BP002,Dimension : 1200 ml\nMateriel : polypropylene\nForme : rectangulaire\nContact alimentaire : oui\nCouleur : noire /rouge\nFacile \xc3\xa0 nettoyer\nPeut-\xc3\xaatre chauffe au micro-onde.\nIdeal pour : repas \xc3\xa0 emporter\nRecyclable\nPrix pour 5 barquettes.\nUnites par paquet\npack de 5,['micro-ondes'],Barquettes PP HOTP 1200ml,polypropylene,"Polypropylene, Barquettes",repas \xc3\xa0 emporter,1200 ml,0,XAF,True
noire /rouge,True,,True,,False,pack de 12,"XAF 3500,00",rectangulaire,BP009,Dimension : 1250 ml\nMateriel : polypropylene\nForme : rectangulaire\nContact alimentaire : oui\nCouleur : noire /rouge\nFacile \xc3\xa0 nettoyer\nPeut-\xc3\xaatre chauffe au micro-onde.\nIdeal pour : repas \xc3\xa0 emporter\nRecyclable\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12,['micro-ondes'],Barquettes SJ transparent 1250ml,polypropylene,"Polypropylene, Barquettes",repas \xc3\xa0 emporter,1250 ml,0,XAF,True
transparente,False,-20\xc2\xbaC / 120\xc2\xbaC,True,Bo\xc3\xaetes avec Charniere,False,pack de 10,"XAF 2000,00",,BP015,Ideal pour : emballer les repas \xc3\xa0 emporter\nIl peut \xc3\xaatre utilise pour congeler jusqu\xe2\u20ac\u2122\xc3\xa0 un maximum de -20\xc2\xbaC.\nOn peut introduire des sauces \xc3\xa0 tres hautes temperatures (120\xc2\xbaC).\nIl peut \xc3\xaatre en contact direct avec de la nourriture.\nIls sont transparents pour une plus grande visibilite \xc3\xa0 l'interieur.\nPrix pour 10 barquettes.\nUnites par paquet\npack de 10,[],Bo\xc3\xaete avec Charniere PP 500 ml,polypropylene,"Polypropylene, Bo\xc3\xaetes avec Charniere",emballer les repas \xc3\xa0 emporter,500 ml,0,XAF,False
transparente,False,-20\xc2\xbaC / 120\xc2\xbaC,True,Bo\xc3\xaetes avec Charniere,False,pack de 10,"XAF 2500,00",,BP014,Utilisable au micro-ondes\nCouleur : transparente\nIdeal pour : emballer les repas \xc3\xa0 emporter\nIl peut \xc3\xaatre utilise pour congeler jusqu\xe2\u20ac\u2122\xc3\xa0 un maximum de -20\xc2\xbaC.\nOn peut introduire des sauces \xc3\xa0 tres hautes temperatures (120\xc2\xbaC).\nIl peut \xc3\xaatre en contact direct avec de la nourriture.\nIls sont transparents pour une plus grande visibilite \xc3\xa0 l'interieur.\nPrix pour 10 barquettes.\nUnites par paquet\npack de 10,['micro-ondes'],Bo\xc3\xaete avec Charniere PP 600 ml,polypropylene,"Polypropylene, Bo\xc3\xaetes avec Charniere",emballer les repas \xc3\xa0 emporter,600 ml,0,XAF,False
transparente,True,,True,,False,pack de 15,"XAF 1500,00",,BP012,Facile \xc3\xa0 nettoyer\nPeut-\xc3\xaatre chauffe au micro-ondes.\nCouleur : transparente\nPrix pour 15 barquettes.\nUnites par paquet\npack de 15,['micro-ondes'],Barquettes transparent PP 700ml,polypropylene,"Polypropylene, Barquettes",,700 ml,0,XAF,False
transparente,True,,True,,False,pack de 12,"XAF 2500,00",,BP008,Utilisable au micro-ondes\nCompartiments : 2\nOn peut introduire des sauces \xc3\xa0 tres hautes temperatures (120\xc2\xbaC).\nIl peut \xc3\xaatre en contact direct avec de la nourriture.\nIls sont transparents pour une plus grande visibilite \xc3\xa0 l'interieur.\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12,['micro-ondes'],Barquettes transparents NG 800ml,polypropylene,"Polypropylene, Barquettes",,800 ml,2,XAF,False
,False,,True,,False,pack de 5,"XAF 3000,00",,BP013,Barquettes ideales pour le poulet \xc3\xa0 emporter et bien plus.\nReutilisables et faciles \xc3\xa0 nettoyer.\nPrix pour 5 barquettes\nUnites par paquet\npack de 5,[],Chicken bowl PP,polypropylene,"Polypropylene, Barquettes",poulet \xc3\xa0 emporter et bien plus,,0,XAF,False
,False,,True,,False,pack de 10,"XAF 2200,00",,BP005,"Barquette en polypropylene.\nIdeal pour : sushi \xc3\xa0 emporter, cr\xc3\xaapes et bien plus\nPrix pour 10 barquettes.\nUnites par paquet\npack de 10",[],Barquettes SJ 800ml,polypropylene,"Polypropylene, Barquettes","sushi \xc3\xa0 emporter, cr\xc3\xaapes et bien plus",,0,XAF,False
,True,,True,,False,pack de 20,"XAF 3000,00",rectangulaire,BP010,Barquette en polypropylene.\nPrix pour 20 barquettes.\nForme : rectangulaire\nUnites par paquet\npack de 20,[],Barquettes rondes transp. 800ml,polypropylene,"Polypropylene, Barquettes",,800 ml,0,XAF,False
,True,,True,,False,pack de 10,"XAF 2000,00",,BP001,Facile \xc3\xa0 nettoyer\nNe garde pas d\xe2\u20ac\u2122odeur\nCompatible aux micro-ondes\nNe garde pas de t\xc3\xa2ches\nPrix pour 10 barquettes.\nUnites par paquet\npack de 10,['micro-ondes'],Barquettes PP DL 700ml,polypropylene,"Polypropylene, Barquettes",,700 ml,0,XAF,False
,True,,True,,True,pack de 20,"XAF 3000,00",,BP011,Barquette en polypropylene.\nCouvercle en transparent et  couleurs\nPrix pour 20 barquettes.\nUnites par paquet\npack de 20,[],Barquettes NG transp. 800ml,polypropylene,"Polypropylene, Barquettes",,800 ml,0,XAF,False
,True,,True,,False,pack de 50,"XAF 4500,00",,GAM011,"C'est un isolant thermique, qui maintient l'etat des aliments.\nIl ne ramollit pas et ne laisse pas fuir les liquides.\nC'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\nMateriel : XPP polystyrene\nPrix pour 50 barquettes.\nUnites par paquet\npack de 50",[],Barquettes polystyrene GM,XPP polystyrene,"Polystyrene, Barquettes",,,0,XAF,False
,True,,True,,False,pack de 100,"XAF 5000,00",,GAM012,"C'est un isolant thermique, qui maintient l'etat des aliments.\nIl ne ramollit pas et ne laisse pas fuir les liquides.\nC'est aussi un emballage hygienique, s\xc3\xbbr et leger pour les aliments, resistant aux chocs.\nMateriel : XPP polystyrene\nPrix pour 100 barquettes.\nUnites par paquet\npack de 100",[],Barquettes polystyrene PM,XPP polystyrene,"Polystyrene, Barquettes",,,0,XAF,False
,True,,True,,True,pack de 12,"XAF 3000,00",rectangulaire,BKR001,"Barquettes en carton Kraft avec couvercle en PP.\nAvec un laminage interieur le rendant impermeable.\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nLeger et facile \xc3\xa0 ranger.\nForme : rectangulaire\nResistant aux chocs et aux impacts\nDesign : GreenUSA ECO\nGsm : 300\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12",[],kraft bowl rect. 900ml,carton Kraft,"Carton Kraft, Barquettes",,900 ml,0,XAF,False
,True,,True,,True,pack de 12,"XAF 3850,00",rectangulaire,BKR002,"Barquettes en carton Kraft avec couvercle en PP.\nDimension : 1250 ml\nAvec un laminage interieur le rendant impermeable.\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nLeger et facile \xc3\xa0 ranger.\nForme : rectangulaire\nResistant aux chocs et aux impacts\nDesign : GreenUSA ECO\nGsm : 300\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12",[],kraft bowl rectangulaire 1250ml,carton Kraft,"Carton Kraft, Barquettes",,1250 ml,0,XAF,False
,True,,True,,True,pack de 12,"XAF 5000,00",rectangulaire,BKR005,"Barquettes en carton Kraft avec couvercle en PP.\nDimension : 1200 ml\nAvec un laminage interieur le rendant impermeable.\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nLeger et facile \xc3\xa0 ranger.\nForme : rectangulaire\nCompartiments : 2\nResistant aux chocs et aux impacts\nDesign : GreenUSA ECO\nGsm : 300\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12",[],Kraft bowl rectangulaire 2 comp. 1200ml,carton Kraft,"Carton Kraft, Barquettes",,1200 ml,2,XAF,False
,True,,True,,True,pack de 12,"XAF 6000,00",rectangulaire,BKR006,"Barquettes en carton Kraft avec couvercle en PP.\nDimension : 2100 ml\nAvec un laminage interieur le rendant impermeable.\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nLeger et facile \xc3\xa0 ranger.\nForme : rectangulaire\nCompartiments : 2\nResistant aux chocs et aux impacts\nDesign : GreenUSA ECO\nGsm : 300\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12",[],Kraft bowl rectangulaire 2 comp. 2100ml,carton Kraft,"Carton Kraft, Barquettes",,2100 ml,2,XAF,False
,True,,True,,True,pack de 12,"XAF 3000,00",rectangulaire,BKR003,"Barquettes en carton Kraft avec couvercle en PP.\nDimension : 750 ml\nAvec un laminage interieur le rendant impermeable.\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nLeger et facile \xc3\xa0 ranger.\nForme : rectangulaire\nResistant aux chocs et aux impacts\nDesign : GreenUSA ECO\nGsm : 300\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12",[],kraft bowl round 750ml,carton Kraft,"Carton Kraft, Barquettes",,750 ml,0,XAF,False
,True,,True,,True,pack de 12,"XAF 3850,00",rectangulaire,BKR004,"Barquettes en carton Kraft avec couvercle en PP.\nDimension : 1000 ml\nAvec un laminage interieur le rendant impermeable.\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nLeger et facile \xc3\xa0 ranger.\nForme : rectangulaire\nCompartiments : 2\nResistant aux chocs et aux impacts\nDesign : GreenUSA ECO\nGsm : 300\nPrix pour 12 barquettes.\nUnites par paquet\npack de 12",[],kraft bowl round 1000ml,carton Kraft,"Carton Kraft, Barquettes",,1000 ml,2,XAF,False
,True,,True,,False,pack de 25,"XAF 7500,00",,GAM013,"Impermeable.\nAfritude\nMateriel : Cartons\nDimensions : 19 x 13 x 7 cm\nIsolant thermique, garde les aliments frais plus longtemps.\nIl permet de transporter des aliments liquides et solides.\nResistant aux chocs et aux impacts\nPrix pour 25 barquettes.\nUnites par paquet\npack de 25",[],Barquettes afritude en carton,Cartons,"Cartons, Barquettes",Afritude,19 x 13 x 7 cm,0,XAF,False
,False,,True,rectangulaire,True,pack de 5,"XAF 4500,00",,PLT002,Recyclable et resistant aux graisses et aux huiles.\nDimension : 32 x 26 x 7 cm\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour 05 plateaux.\nUnites par paquet\npack de 5,"['congelation', 'fermeture par film plastique']",Plateau alu rect AVEC couvercle,alu,"Plateaux , Aluminium, Plateaux",,32 x 26 x 7 cm,0,XAF,True
,False,,True,oval,True,pack de 5,"XAF 9000,00",,PLT0040,Recyclable et resistant aux graisses et aux huiles.\nDimension : 46 x 35 x 9 cm\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour 05 plateaux.\nUnites par paquet\npack de 5,"['congelation', 'fermeture par film plastique']",Plateaux alu oval,alu,"Plateaux , Aluminium, Plateaux",,46 x 35 x 9 cm,0,XAF,True
,False,,True,oval,True,pack de 5,"XAF 10000,00",,PLT004R,Recyclable et resistant aux graisses et aux huiles.\nDimension : 46 x 35 x 9 cm\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour 05 plateaux.\nUnites par paquet\npack de 5,"['congelation', 'fermeture par film plastique']",Plateau alu oval,alu,"Plateaux , Aluminium, Plateaux",,46 x 35 x 9 cm,0,XAF,True
,False,-20\xc2\xbaC / +380\xc2\xbaC,True,rectangulaire,True,pack de 5,"XAF 7000,00",,PLT001,Recyclable et resistant aux graisses et aux huiles.\nDimensions : 46 x 35 x 9 cm\nPlage de temperature min/max : -20\xc2\xbaC / +380\xc2\xbaC.\nCompatible avec la congelation par air pulse et la fermeture par film plastique.\nCouvercles compatibles disponibles dans les accessoires.\nPrix pour 05 plateaux.\nUnites par paquet\npack de 5,"['congelation', 'fermeture par film plastique']",Plateaux alu rect,alu,"Plateaux , Aluminium, Plateaux",,46 x 35 x 9 cm,0,XAF,True
blanche,True,,True,rectangulaire,False,pack de 15,"XAF 4000,00",,PLT003,"La couleur blanche vehicule une image de proprete, et rapidement associee \xc3\xa0 des produits frais ou froids.\nDimensions : 21 x 16 cm\nRectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\nConformes aux exigences medicales et alimentaires.\nIdeal pour presenter aliments frais pour leur commercialisation\nPrix pour 15 plateaux.\nUnites par paquet\npack de 15",[],Plateau polystyrene GM,polystyrene,"Polypropylene, Plateaux",,21 x 16 cm,0,XAF,True
blanche,True,,True,rectangulaire,False,pack de 22,"XAF 1500,00",,PLT006,"La couleur blanche vehicule une image de proprete, et rapidement associee \xc3\xa0 des produits frais ou froids.\nDimensions: 20 x 10 cm\nRectangulaires avec des coins arrondis et une faible profondeur pour permettre l'egalite ne tombe pas.\nConformes aux exigences medicales et alimentaires.\nIdeal pour presenter aliments frais pour leur commercialisation\nPrix pour 22 plateaux.\nUnites par paquet\npack de 22",[],Plateau polystyrene PM,polystyrene,"Polypropylene, Plateaux",,20 x 10 cm,0,XAF,True
blanc,True,,True,,False,pack de 50,"XAF 2500,00",,PL001,Couleur : blanc\nDiametre : 20 cm\nJetable : oui\nContact alimentaire : oui\nMatiere : polypropylene\n\nUnites par paquet\npack de 50,[],Assiettes jetable en plastique,polypropylene,"Assiettes, Plastique",,20 cm,0,XAF,False
blanc,True,,True,,False,pack de 25,"XAF 2500,00",,PL002,Couleur : blanc\nDiametre : 23 cm\nJetable : oui\nContact alimentaire : oui\nMatiere : polypropylene\n\nUnites par paquet\npack de 25,[],Assiettes jetable HOTP blanc,polypropylene,"Assiettes, Plastique",,23 cm,0,XAF,False
blanc,True,,True,,False,pack de 10,"XAF 1250,00",,PL007,Couleur : blanc\nDiametre : 22 cm\nJetable : oui\nContact alimentaire : oui\nMatiere : polypropylene\n\nUnites par paquet\npack de 10,[],Assiettes jetables color GM,polypropylene,"Assiettes, Plastique",,22 cm,0,XAF,False
blanc,True,,True,,False,pack de 10,"XAF 1000,00",,PL008,Couleur : blanc\nDiametre : 18 cm\nJetable : oui\nContact alimentaire : oui\nMatiere : polypropylene\n\nUnites par paquet\npack de 10,[],Assiettes jetables color PM,polypropylene,"Assiettes, Plastique",,18 cm,0,XAF,False
or,True,,True,,False,pack de 10,"XAF 2000,00",,PL012,Assiettes Cartons couleur or.\nParticulierement utilise comme plateaux de service ou sous plats.\nDiametre : 29 cm\nPrix pour un paquet de 10 pieces.\nUnites par paquet\npack de 10,[],Assiettes OR en carton GM,carton,"Assiettes, Cartons, Or","Plateaux de service, sous plats",29 cm,0,XAF,True
or,True,,True,,False,pack de 10,"XAF 1000,00",,PL011,Assiettes Cartons couleur or.\nParticulierement utilise comme plats pour repas.\nDiametre : 19 cm\nPrix pour un paquet de 10 pieces.\nUnites par paquet\npack de 10,[],Assiettes OR en carton PM,carton,"Assiettes, Cartons, Or",Plats pour repas,19 cm,0,XAF,True
,True,,True,,False,pack de 10,"XAF 1000,00",,PL009,Petits plats en carton.\nIdeal pour partager des tranches de g\xc3\xa2teaux pendant les manifestations.\nDiametre : 18 cm\nPrix pour paquet de 18 pieces\nUnites par paquet\npack de 10,[],Plats \xc3\xa0 g\xc3\xa2teau en carton,carton,"Assiettes, Cartons",Partager des tranches de g\xc3\xa2teaux pendant les manifestations,18 cm,0,XAF,True
,True,,True,,False,pack de 100,"XAF 4000,00",,PL015,Assiettes Cartons 100% biodegradable. Eco-friendly.\nDiametre : 23 cm\nJetable : oui\nPrix pour un paquet de 100 assiettes.\nUnites par paquet\npack de 100,[],Plats FALCON en carton GM,carton,"Assiettes, Cartons, Biodegradable",,23 cm,0,XAF,True
,True,,True,,False,pack de 100,"XAF 2800,00",,PL017,Assiettes Cartons 100% biodegradable. Eco-friendly.\nDiametre : 18 cm\nJetable : oui\nPrix pour un paquet de 100 assiettes.\nUnites par paquet\npack de 100,[],Plats FALCON en carton PM,carton,"Assiettes, Cartons, Biodegradable",,18 cm,0,XAF,True
blanches,True,,True,rectangulaire,False,Prix pour 1kg (comprends entre 39-45 pieces),"XAF 6000,00",,ASS005,"Ce plateau rectangulaire est fonctionnel \xc3\xa0 la fois dans la conception et la convivialite et met en valeur vos celebres produits fra\xc3\xaechement prepares, \xc3\xa0 savoir les biscuits, les p\xc3\xa2tisseries, les beignets et bien plus.\nDimensions : 23 x 16 cm\nBon pour les supermarches, les restaurants, les entreprises de livraison, les restaurants et les cafes, son style elegant convient pour \xc3\xaatre utilise dans les vitrines et les demonstrations de placement de produits devant la maison.\n\nPrix pour 1kg (comprends entre 39-45 pieces)",[],Assiettes PP blanches,polypropylene,"Assiettes, Polypropylene",,23 x 16 cm,0,XAF,False
blanches,True,,True,cuillere,False,pack de 50,"XAF 700,00",,couv001,Cuillere jetable en plastique blanche.\nLe prix est pour le paquet de 50 cuilleres.\nUnites par paquet\npack de 50,[],Cuilleres jetables blanches,plastique,"Couverts Jetables, Cuilleres, Plastique",,,0,XAF,False
blanches,True,,True,fourchette,False,pack de 50,"XAF 700,00",,couv0012,Fourchette jetable en plastique blanche.\nLe prix est pour le paquet de 50 fourchettes.\nUnites par paquet\npack de 50,[],Fourchettes jetables blanches,plastique,"Couverts Jetables, Fourchettes, Plastique",,,0,XAF,False
transparentes,False,,True,cuillere,False,pack de 50,"XAF 2000,00",,couv003,"100% recyclable.\nMateriau leger et rigide qui l'emp\xc3\xaache de se plier ou de se casser.\nIdeal pour tous les types d'entreprises de restauration, les cantines scolaires, les h\xc3\xb4pitaux ainsi que les services de restauration.\nLe prix est pour un paquet de 50 cuilleres.","['Restauration', 'Cantines Scolaires', 'H̫pitaux']",Cuilleres reutilisables transparentes,,"Cuilleres, Transparent","Restauration, Cantines Scolaires, H\xc3\xb4pitaux",,0,XAF,True
transparentes,False,,True,fourchette,False,pack de 50,"XAF 2000,00",,couv003,"100% recyclable.\nMateriau leger et rigide qui l'emp\xc3\xaache de se plier ou de se casser.\nIdeal pour tous les types d'entreprises de restauration, les cantines scolaires, les h\xc3\xb4pitaux ainsi que les services de restauration.\nLe prix est pour un paquet de 50 fourchettes.","['Restauration', 'Cantines Scolaires', 'H̫pitaux']",Fourchettes reutilisables transparentes,,"Fourchettes, Transparent","Restauration, Cantines Scolaires, H\xc3\xb4pitaux",,0,XAF,True
