shape,categories,units_per_package,description,nom_du_produit,suitable_for,temperature_range,cover_available,type,currency,ideal_for,material,color,width,dimension,product_code,disposable,length,food_contact_safe,compartiments,price,recyclable
,"Emballages, Plastique Fleuri, Sachet DoyPack",pack de 50,"Ideal pour emballer et conserver les aliments, les noix, les grains de cafe, les herbes sechees, les epices, entre autres.\nCapacite : 500 g\nSachets souples tenant debout\nEn polyethylene (PE)\nSon zip permet une ouverture et une fermeture a volonte facilitee !\nAssurent une conservation optimum\nUnites par paquet\npack de 50",Sachet DoyPack en plastique en fleuri avec zip et fen\xc3\xaatre,[],,True,,XAF,,polyethylene (PE),,,,PK1623T,True,,True,0,,False
,"Emballages, Gift Box, Carton",1 piece,"Emballez vos cadeaux avec go\xc3\xbbt : ces bo\xc3\xaetes ornees d'une superbe boucle, mettent vos presents en valeur tout en faisant chic. Choisissez le paquet-cadeau le plus adapte parmi les trois tailles differentes. Les paquets sont en materiaux 100 % ecologiques !\nCouleur : vert, bleu, rose\nPrix pour 1 piece\nUnites par paquet\n1 piece",Gift box en carton 10x10 cm,[],,False,,XAF,,carton,"vert, bleu, rose",,10x10 cm,GB0010,True,,False,0,"XAF 1000,00",False
,"Emballages, Gift Box, Carton",1 piece,"Emballez vos cadeaux avec go\xc3\xbbt : ces bo\xc3\xaetes ornees d'une superbe boucle, mettent vos presents en valeur tout en faisant chic. Choisissez le paquet-cadeau le plus adapte parmi les trois tailles differentes. Les paquets sont en materiaux 100 % ecologiques !\nCouleur : vert, bleu, rose\nPrix pour 1 piece\nUnites par paquet\n1 piece",Gift box en carton 15x15 cm,[],,False,,XAF,,carton,"vert, bleu, rose",,15x15 cm,GB0015,True,,False,0,"XAF 1500,00",False
,"Emballages, Gift Box, Carton",1 piece,"Emballez vos cadeaux avec go\xc3\xbbt : ces bo\xc3\xaetes ornees d'une superbe boucle, mettent vos presents en valeur tout en faisant chic. Choisissez le paquet-cadeau le plus adapte parmi les trois tailles differentes. Les paquets sont en materiaux 100 % ecologiques !\nCouleur : vert, bleu, rose\nPrix pour 1 piece\nUnites par paquet\n1 piece",Gift box en carton 22x22 cm,[],,False,,XAF,,carton,"vert, bleu, rose",,22x22 cm,GB0022,True,,False,0,"XAF 2000,00",False
,"Emballages, Gift Box",,"Gift box avec Fen\xc3\xaatre en PLA biodegradable.\nLa fen\xc3\xaatre permet de voir ce qui est mis a l\xe2\u20ac\u2122interieur\nEmballage cadeau ideal et bon pour l'environnement, 100% ecologique.\nSolide et facile a transporter\nAnse sur le dessus, montage tres facile",Gift box avec fen\xc3\xaatre,[],,False,,XAF,,PLA biodegradable,,,,GB0001,True,,False,0,"XAF 225,00",False
,"Emballages, Gift Box",,"Gift box sans fen\xc3\xaatre.\nEmballage cadeau ideal et bon pour l'environnement, 100% ecologique.\nSolide et facile a transporter\nAnse sur le dessus, montage tres facile",Gift box sans fen\xc3\xaatre,[],,False,,XAF,,100% ecologique,,,,GB000111,True,,False,0,"XAF 225,00",False
carre,"Emballages, Cakebox",1 piece,"Bo\xc3\xaetes de presentation avec fen\xc3\xaatre a haute resistance, ideales pour presenter des g\xc3\xa2teaux avec une touche d'elegance et d'originalite.\nManche esthetique pour faciliter le transport\nSuper facile a monter.\nSa fen\xc3\xaatre en acetate est parfaite pour voir notre creation pendant le transport et verifier que rien n'est tombe.\nCarton tres solide et resistant aux aliments.\nPrix pour 1 piece.",Cakebox carre 20cm avec fen\xc3\xaatre pvc et manche,[],,False,avec fen\xc3\xaatre pvc et manche,XAF,,carton,,,20cm,ckb005,True,,True,0,"XAF 600,00",False
carre,"Emballages, Cakebox",1 piece,"Bo\xc3\xaetes de presentation avec fen\xc3\xaatre a haute resistance, ideales pour presenter des g\xc3\xa2teaux avec une touche d'elegance et d'originalite.\nManche esthetique pour faciliter le transport\nSuper facile a monter.\nSa fen\xc3\xaatre en acetate est parfaite pour voir notre creation pendant le transport et verifier que rien n'est tombe.\nCarton tres solide et resistant aux aliments.\nPrix pour 1 piece.",Cakebox carre 25cm avec fen\xc3\xaatre pvc et manche,[],,False,avec fen\xc3\xaatre pvc et manche,XAF,,carton,,,25cm,ckb004,True,,True,0,"XAF 800,00",False
carre,"Emballages, Cakebox",1 piece,"Bo\xc3\xaetes de presentation avec fen\xc3\xaatre a haute resistance, ideales pour presenter des g\xc3\xa2teaux avec une touche d'elegance et d'originalite.\nManche esthetique pour faciliter le transport\nSuper facile a monter.\nSa fen\xc3\xaatre en acetate est parfaite pour voir notre creation pendant le transport et verifier que rien n'est tombe.\nCarton tres solide et resistant aux aliments.\nPrix pour 1 piece.\nUnites par paquet\n1 piece",Cakebox carre 30cm avec fen\xc3\xaatre pvc et manche,[],,False,avec fen\xc3\xaatre pvc et manche,XAF,,carton,,,30cm,ckb003,True,,True,0,"XAF 900,00",False
,"Emballages, Cakebox",01 piece,"Bo\xc3\xaetes de presentation avec fen\xc3\xaatre a haute resistance, ideales pour presenter des g\xc3\xa2teaux avec une touche d'elegance et d'originalite.\nSuper facile a monter. Il se compose de 2 parties : la base et le dessus. Ideal pour acceder au g\xc3\xa2teau en soulevant le dessus.\nSa fen\xc3\xaatre en acetate est parfaite pour voir notre creation pendant le transport et verifier que rien n'est tombe.\nIl laisse beaucoup de place pour un g\xc3\xa2teau a trois couches et un grand nappage, ou m\xc3\xaame un g\xc3\xa2teau a deux couches avec un petit nappage ou une decoration sur le dessus.\nCarton tres solide et resistant aux aliments.\nUnite par paquet\n01 piece",Cakebox 30x30x30 cm avec fenetre,[],,False,avec fen\xc3\xaatre,XAF,,carton,,,30x30x30 cm,CKB001,True,,True,0,"XAF 1850,00",False
,"Emballages, Cakebox",01 piece,"Bo\xc3\xaetes de presentation transparente a haute resistance, ideales pour presenter des g\xc3\xa2teaux avec une touche d'elegance et d'originalite.\nSuper facile a monter.\nSa fen\xc3\xaatre en acetate est parfaite pour voir notre creation pendant le transport et verifier que rien n'est tombe.\nIl laisse beaucoup de place pour un g\xc3\xa2teau a trois couches et un grand nappage, ou m\xc3\xaame un g\xc3\xa2teau a deux couches avec un petit nappage ou une decoration sur le dessus.\nUnite par paquet\n01 piece",Cakebox 30x30x30 cm transparent,[],,False,transparent,XAF,,acetate,transparent,,30x30x30 cm,CKB012,True,,True,0,"XAF 2000,00",False
,"Emballages, Cakebox",01 piece,Super facile a monter.\nCarton tres solide et resistant aux aliments.\nUnite par paquet\n01 piece,Cakebox blanc 30x30x10cm,[],,False,blanc,XAF,,carton,blanc,,30x30x10 cm,CKB003,True,,True,0,"XAF 550,00",False
,"Emballages, Cupcake Box",01 piece,Bo\xc3\xaetes avec fen\xc3\xaatre pour 4 cupcakes fabriquees en carton.\nBo\xc3\xaete avec supports inclus.\nUnite par paquet\n01 piece,Cupcake box avec fen\xc3\xaatre,[],,False,avec fen\xc3\xaatre,XAF,,carton,,,,CKB010,True,,True,0,"XAF 450,00",False
,"Emballages, Cupcake Box",01 piece,Bo\xc3\xaetes avec fen\xc3\xaatre pour 12 cupcakes fabriquees en carton.\nBo\xc3\xaete avec supports inclus.\nUnite par paquet\n01 piece,Cupcake box avec fen\xc3\xaatre,[],,False,avec fen\xc3\xaatre,XAF,,carton,,,,CKB011,True,,True,0,"XAF 600,00",False
,"Emballages, Buche Box",01 piece,Bo\xc3\xaetes a b\xc3\xbbche en carton pour l'emballage et le transport de vos b\xc3\xbbches de No\xc3\xabl ou g\xc3\xa2teaux roules.\nUnite par paquet\n01 piece,Buche box 20x10x14 cm,[],,False,,XAF,,carton,,,20x10x14 cm,CKB006,True,,True,0,"XAF 500,00",False
,"Emballages, Buche Box",01 piece,Bo\xc3\xaetes a b\xc3\xbbche en carton pour l'emballage et le transport de vos b\xc3\xbbches de No\xc3\xabl ou g\xc3\xa2teaux roules.\nUnite par paquet\n01 piece,Buche box 25x10x14 cm,[],,False,,XAF,,carton,,,25x10x14 cm,CKB007,True,,True,0,"XAF 550,00",False
,"Emballages, Buche Box",01 piece,Bo\xc3\xaetes a b\xc3\xbbche en carton pour l'emballage et le transport de vos b\xc3\xbbches de No\xc3\xabl ou g\xc3\xa2teaux roules.\nUnite par paquet\n01 piece,Buche box 30x10x14 cm,[],,False,,XAF,,carton,,,30x10x14 cm,CKB008,True,,True,0,"XAF 600,00",False
,"Emballages, Buche Box",01 piece,Bo\xc3\xaetes a b\xc3\xbbche en carton pour l'emballage et le transport de vos b\xc3\xbbches de No\xc3\xabl ou g\xc3\xa2teaux roules.\nUnite par paquet\n01 piece,Buche box 35x10x14 cm,[],,False,,XAF,,carton,,,35x10x14 cm,CKB009,True,,True,0,"XAF 650,00",False
rectangulaire,"Emballages, Sacs en papier kraft couleur",pack de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche torsade pour une plus grande resistance.\nSpecial pour le transport de toutes sortes de produits a usage unique dans les cafeterias, les restaurants, les magasins de v\xc3\xaatements... les magasins en general.\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable au frais du client\nDisponible en plusieurs couleurs\nDimensions : 20x15x8 cm\nUnite par paquet\npack de 12",Sacs en papier kraft couleur 20x15 cm,"['cafeterias', 'restaurants', 'magasins de v̻tements']",,False,couleur,XAF,,papier kraft,,,20x15x8 cm,SCD005,True,,True,0,"XAF 2800,00",True
rectangulaire,"Emballages, Sac COLOR en papier kraft",pack de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche torsade pour une plus grande resistance.\nSpecial pour le transport de toutes sortes de produits a usage unique dans les cafeterias, les restaurants, les magasins de v\xc3\xaatements... les magasins en general.\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable au frais du client\nDisponible en 3 tailles\nDimensions : 27x21x11 cm\nUnite par paquet\npack de 12",Sac COLOR en papier kraft 27x21 cm,"['cafeterias', 'restaurants', 'magasins de v̻tements']",,False,colore,XAF,,papier kraft,,,27x21x11 cm,SCD003,True,,True,0,"XAF 4000,00",True
rectangulaire,"Emballages, Sac COLOR en papier kraft",pack de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche torsade pour une plus grande resistance.\nSpecial pour le transport de toutes sortes de produits a usage unique dans les cafeterias, les restaurants, les magasins de v\xc3\xaatements... les magasins en general.\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable au frais du client\nDisponible en plusieurs couleurs\nDimensions : 33x26x11 cm\nUnite par paquet\npack de 12",Sac COLOR en papier kraft 33x26 cm,"['cafeterias', 'restaurants', 'magasins de v̻tements']",,False,colore,XAF,,papier kraft,,,33x26x11 cm,SCD001,True,,True,0,"XAF 4500,00",True
rectangulaire,"Emballages, Sac COLOR en papier kraft",pack de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche torsade pour une plus grande resistance.\nSpecial pour le transport de toutes sortes de produits a usage unique dans les cafeterias, les restaurants, les magasins de v\xc3\xaatements... les magasins en general.\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable au frais du client\nDisponible en 3 tailles\nDimensions : 42x32x11 cm\nUnite par paquet\npack de 12",Sac COLOR en papier kraft 42x32 cm,"['cafeterias', 'restaurants', 'magasins de v̻tements']",,False,colore,XAF,,papier kraft,,,42x32x11 cm,SCD006,True,,True,0,"XAF 6500,00",True
,"Emballages, Gift Bag en carton",Paquet de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche en corde tissee\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable aux frais du client\nDimension : 26x21x12 cm\nDisponible en blanc, bleu, vert.\nPrix pour\nPaquet de 12",Gift Bag en carton 26x21 cm,[],,False,,XAF,,carton,,,26x21x12 cm,SCD007,True,,True,0,"XAF 5000,00",True
,"Emballages, Gift Bag en carton",Paquet de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche en corde tissee\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable aux frais du client\nDimension : 33x26x12 cm\nDisponible en blanc, bleu, vert.\nPrix pour\nPaquet de 12",Gift Bag en carton 33x26 cm,[],,False,,XAF,,carton,,,33x26x12 cm,SCD008,True,,True,0,"XAF 6500,00",True
,"Emballages, Gift Bag en carton",Paquet de 12,"Conception et qualite de premier ordre, certifiees par le sceau de qualite FSC et PEFC.\nManche en corde tissee\n100% ecologique\nDifferents formats : nous disposons de differents formats a combiner et a apprecier dans votre entreprise.\nPersonnalisable aux frais du client\nDimension : 42x31x12 cm\nDisponible en blanc, bleu, vert.\nPrix pour\nPaquet de 12",Gift Bag en carton 42x31 cm,[],,False,,XAF,,carton,,,42x31x12 cm,SCD009,True,,True,0,"XAF 8000,00",True
,"Emballages, Sacs a vin",pack de 12,"Ce sac en carton presente des poignees de qualite et un fond carre qui peut le rendre autonome. 100% recyclable et ideal pour transporter une bouteille de vin.\nDimension :\nPrix : XAF 500,00\nDisponible en plusieurs couleurs\nUnites par paquet\npack de 12",Sacs a vin,['transport de bouteille de vin'],,False,,XAF,,carton,,,,savi002,True,,False,0,"XAF 500,00",True
rectangulaire,"Emballages, Papier alimentaire",pack de 50,"Resistant a la graisse\nIdeal pour emballer les hamburgers, g\xc3\xa2teaux, shawarma et bien plus\nDimension : 21 x 29 cm\nDisponible en vierge sans impressions\nUnites par paquet\npack de 50",Papier alimentaire absorbant imprime,['emballage alimentaire'],,False,absorbant imprime,XAF,,papier,,,21 x 29 cm,,True,,True,0,"XAF 1500,00",True
rectangulaire,"Emballages, Papier alimentaire",pack de 50,"Emballage aliments a emporter, fromagerie, boulangerie, boucherie et bien plus\nMatiere : papier thermo kraft anti-gras\netanche : permet de conditionner des aliments humides et gras\nFinition thermoscellable : assure une conservation optimale des denrees alimentaires\nKraft brun recouvert d'une pellicule en polyethylene (PE)\nDimensions : 23x23 cm\nUnites par paquet\npack de 50",Papier alimentaire en kraft brun,['emballage alimentaire'],,False,kraft brun,XAF,,papier,,,23x23 cm,pk005,True,,True,0,"XAF 5000,00",True
rectangulaire,"Emballages, Papier alimentaire",pack de 100,Sac imprime a Hamburger / sandwich Ingraissable.\nPaquet de 100 pieces\nApplication : take-away\nForme : rectangulaire\nUnites par paquet\npack de 100,Papier sandwich 33x16 cm,['emballage alimentaire'],,False,sandwich,XAF,,papier,,,33x16 cm,ps426,True,,True,0,"XAF 5000,00",True
rectangulaire,"Emballages, Papier alimentaire",pack de 100,Sac imprime a Hamburger / sandwich Ingraissable.\nPaquet de 100 pieces\nApplication : take-away\nForme : rectangulaire\nUnites par paquet\npack de 100,Papier sandwich 30x14 cm,['emballage alimentaire'],,False,sandwich,XAF,,papier,,,30x14 cm,ps422,True,,True,0,"XAF 4500,00",True
rectangulaire,"Emballages, Papier sandwich",pack de 100,Sac imprime a Hamburger / sandwich Ingraissable.\nPaquet de 100 pieces\nApplication : take-away\nForme : rectangulaire\nUnites par paquet\npack de 100,Papier sandwich 25x12cm,['emballage alimentaire'],,False,sandwich,XAF,,papier,,,25x12 cm,ps418,True,,True,0,"XAF 3500,00",True
,"Emballages, Sacs congelation",50 sacs,"Gardez les aliments frais et en securite avec les sacs de congelation Falcon Zipper. Ces sacs a fermeture eclair bloquent l\xe2\u20ac\u2122air et emprisonnent la fra\xc3\xaecheur, ce qui signifie moins de gaspillage de nourriture et d\xe2\u20ac\u2122argent.\nMatiere : plastique biodegradable avec fermeture zip\nCouleur : transparent\nDimensions : (18x21) cm\nUnites par paquet : 50 et\nPrix pour : 50 sacs",Sacs congelation FALCON 18/21cm,['conservation alimentaire'],,False,fermeture zip,XAF,,plastique biodegradable,transparent,,(18x21) cm,sc0001,True,,True,0,"XAF 3500,00",True
,"Emballages, Sacs congelation",40 sacs,"Gardez les aliments frais et en securite avec les sacs de congelation Falcon Zipper. Ces sacs a fermeture eclair bloquent l\xe2\u20ac\u2122air et emprisonnent la fra\xc3\xaecheur, ce qui signifie moins de gaspillage de nourriture et d\xe2\u20ac\u2122argent.\nMatiere : plastique biodegradable avec fermeture zip\nCouleur : transparent\nDimensions : (27x30) cm\nUnites par paquet : 50 et\nPrix pour : 40 sacs",Sacs congelation FALCON 27/30cm,['conservation alimentaire'],,False,fermeture zip,XAF,,plastique biodegradable,transparent,,(27x30) cm,sc0002,True,,True,0,"XAF 4500,00",True
,"Emballages, Emballages en plastique imprime",,Emballages en plastiques biodegradables hyper solides.\nIdeal pour vos emballer tout type de produit,Emballages en plastique imprime 30x40 cm,['emballage produit'],,False,,XAF,,plastique biodegradable,,,30x40 cm,SS002,True,,True,0,"XAF 5000,00",True
,"Emballages, Emballages en plastique imprime",,Emballages en plastiques biodegradables hyper solides.\nIdeal pour vos emballer tout type de produit,Emballages en plastique imprime 26x35 cm,['emballage produit'],,False,,XAF,,plastique biodegradable,,,26x35 cm,SS003,True,,True,0,"XAF 3500,00",True
,"Emballages, Emballages en plastique imprime",,Emballages en plastiques biodegradables hyper solides.\nIdeal pour vos emballer tout type de produit,Emballages en plastique imprime 20x25 cm,['emballage produit'],,False,,XAF,,plastique biodegradable,,,20x25 cm,SS004,True,,True,0,"XAF 2500,00",True
,"Emballages, Emballages en plastique imprime",,Emballages en plastiques biodegradables hyper solides.\nIdeal pour vos emballer tout type de produit,Emballages en plastique imprime 42x50 cm,['emballage produit'],,False,,XAF,,plastique biodegradable,,,42x50 cm,SS005,True,,True,0,"XAF 6000,00",True
,"Emballages, Emballages en plastique imprime",,Emballages en plastiques biodegradables hyper solides.\nIdeal pour vos emballer tout type de produit,Emballages en plastique imprime 50x60 cm,['emballage produit'],,False,,XAF,,plastique biodegradable,,,50x60 cm,SS006,True,,True,0,"XAF 6500,00",True
,"Emballages, Shopping bag en plastique",50,"Emballages en plastiques biodegradables hyper solides.\nAvec manche\nIdeal pour vos emballer tout type de produit notamment les boutiques de v\xc3\xaatements, chaussures, shoppings",Shopping bag en plastique avec manche (32 x 40) cm,"['boutiques', 'v̻tements', 'chaussures', 'shoppings']",,False,,XAF,,plastique biodegradable,,,(32 x 40) cm,SS001,True,,False,0,"XAF 5000,00",True
,"Emballages, Shopping bag en plastique",100,"Emballages en plastiques biodegradables hyper solides.\nAvec manche\nIdeal pour vos emballer tout type de produit notamment les boutiques de v\xc3\xaatements, chaussures, shoppings",Shopping bag en plastique avec manche (35 x 45) cm,"['boutiques', 'v̻tements', 'chaussures', 'shoppings']",,False,,XAF,,plastique biodegradable,,,(35 x 45) cm,SS007,True,,False,0,"XAF 6500,00",True
rouleau,"Emballages, Rouleau papier en aluminium",,"Rouleau en Aluminium.\nPour un usage correct, il est recommande d'eviter la conservation de produits fortement acides (jus de citron, vinaigre, etc. ou avec une haute teneur en sel)\nLe prix est pour 1 Unite.\nDimension : plusieurs",Rouleau papier en aluminium simple,"['usage domestique', 'emballage alimentaire']",,False,simple,,,Aluminium,,,,,False,,True,0,,False
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nLongueur : 7,74 m\nLargeur : 30 cm\nLe prix est pour 1 Unite.","Papier alu FALCON 7,74M X 30CM",['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,"7,74M X 30CM",PAF25SQ,True,,True,0,"XAF 1650,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nLongueur : 23 m\nLargeur : 30 cm\nLe prix est pour 1 unite.",Papier aluminium FALCON 23M X 30CM,['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,23M X 30CM,PAF75SQ,True,,True,0,"XAF 3500,00",True
,"Emballages, Papier aluminium alimentaire",,"Papier aluminium alimentaire de qualite professionnelle, parfait pour envelopper et proteger tous vos aliments aussi bien dans le refrigerateur que pour les cuissons au four traditionnel. Conditionne dans une boite distributrice tres fonctionnelle\nPoids : 600 g\nLargeur : 30 cm\nLe prix est pour 1 Unite.",Papier aluminium FALCON 600g X 30CM,['emballage alimentaire'],,True,,XAF,,Papier aluminium,,,600g X 30CM,PAF600GM,True,,True,0,"XAF 7000,00",True
