width,suitable_for,length,recyclable,product_code,ideal_for,disposable,description,cover_available,shape,temperature_range,type,units_per_package,categories,compartiments,material,currency,price,color,food_contact_safe,nom_du_produit,dimension
,"['Boissons froides', 'Biere a pression']",,True,GOB006,,True,"Gobelet transparent fabrique en polystyrene. Contenance : 400ml. Ideal pour les boissons froides, notamment la biere a pression.",False,,,Gobelet,pack de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"2500,00",Transparent,True,Gobelets Transparent 400ml,
,['Boissons froides'],,True,RC50,,True,Gobelet rouge fabrique en polystyrene. Contenance : 400ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"3500,00",Rouge,True,RED CUP,
,['Boissons froides'],,True,RC501,,True,Gobelet bleu fabrique en polystyrene. Contenance : 400ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"3500,00",Bleu,True,BLUE CUP,
,['Boissons froides'],,True,RC504,,True,Gobelet bleu fabrique en polystyrene. Contenance : 400ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"3500,00",Bleu,True,LIGHT BLUE CUP,
,['Boissons froides'],,True,RC502,,True,Gobelet vert fabrique en polystyrene. Contenance : 400ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"3500,00",Vert,True,GREEN CUP,
,['Boissons froides'],,True,RC503,,True,Gobelet orange fabrique en polystyrene. Contenance : 400ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"3500,00",Orange,True,ORANGE CUP,
,['Boissons froides'],,True,GOB010,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Bleu,True,Gobelets COLOR 200ml bleu,
,['Boissons froides'],,True,GOB0101,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Jaune,True,Gobelets COLOR 200ml jaune,
,['Boissons froides'],,True,GOB0102,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Rose,True,Gobelets COLOR 200ml rose,
,['Boissons froides'],,True,GOB0103,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Violet,True,Gobelets COLOR 200 ml violet,
,['Boissons froides'],,True,GOB0104,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Orange,True,Gobelets COLOR 200ml orange,
,['Boissons froides'],,True,GOB0105,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Vert,True,Gobelets COLOR 200ml vert,
,['Boissons froides'],,True,GOB0106,,True,Gobelet fabrique en polystyrene. Contenance : 200ml. Ideal pour les boissons froides.,False,,,Gobelet,paquet de 50,"Gobelets, Gobelets",0,Polystyrene,XAF,"1000,00",Rouge,True,Gobelets COLOR 200ml rouge,
,['Champagne'],,True,FLUOO1,,True,"Fl\xc3\xbbte a Champagne, transparente de 150ml. Fabrique en Polystyrene Cristal. Paquet de 6 unites.",False,,,Fl\xc3\xbbte a Champagne,pack de 6,"Gobelets, Gobelets",0,Polystyrene Cristal,XAF,"2000,00",Transparente,True,Fl\xc3\xbbtes a champagne transparente /6,
